主从表关联ID,帐号,数据状态,行政区划代码,行业代码2017,注册资金,上市及新三板、四板挂牌情况,上市挂牌时间,本公司是否为上市挂牌企业主体,上市挂牌企业年末市值,工业总产值当年价格,营业收入,其中主营业务收入,其中技术收入,其中技术转让收入,技术承包收入,技术咨询与服务收入,接受委托研究开发收入,产品销售收入,其中高新技术产品,商品销售收入,其他营业收入,净利润,从业人员期末人数,其中留学归国人员,其中外籍常驻人员,其中引进外籍专家,其中当年新增从业人员,其中吸纳高校应届毕业生,从业人员年平均人数,具有研究生学历位人员,其中博士,其中硕士,具有大学本科学历位人员,具有大学专科学历人员,接受高等教育前为非就业地户籍人员,技能人员,其中高级技师国家职业资格一级,技师国家职业资格二级,高级技能人员国家职业资格三级,中级技能人员国家职业资格四级,初级技能人员国家职业资格五级,中层及以上管理人员,专业技术人员,科技活动人员合计,科技活动费用合计,当年专利申请数
212661,914501257597933769,EN,4501,1741,5000,00,,,0,113105,112031,112031,0,0,0,0,0,112031,25548,0,0,-393.3,185,0,0,0,0,0,183,0,0,0,15,21,0,0,0,0,0,0,0,16,25,21,910,0
212676,914501005615951127,EN,4501,3597,50000,00,,,0,13822,9838,9838,0,0,0,0,0,9838,8320,0,0,-24,30,0,0,0,0,0,30,0,0,0,3,6,0,0,0,0,0,0,0,6,5,6,569,0
212698,91450103315837614L,EN,4501,6531,5000,00,,,0,0,4452.57,4452.57,2080.4,0,0,2080.4,0,1000,1000,1372.17,0,474.3,22,0,0,0,0,0,18,5,0,5,15,2,0,0,0,0,0,0,0,3,4,10,516.9,0
212699,914501035984038239,EN,4501,6531,5000,00,,,0,0,7853.36,7853.36,7853.36,0,0,7853.36,0,0,0,0,0,136.68,11,0,0,0,0,0,11,0,0,0,2,4,0,0,0,0,0,0,0,3,2,5,738,0
212702,91450103315847898C,EN,4501,6513,3000,00,,,0,0,2280,2280,101,0,0,101,0,2179,1604,0,0,94.77,7,0,0,0,0,0,7,0,0,0,1,6,0,0,0,0,0,0,0,2,3,4,161,0
212707,91450000699881103A,EN,4501,3561,10000,00,,,0,22424,20385,20385,1804,0,0,1804,0,17869,15540,0,712,3765,40,1,0,0,23,1,44,0,0,0,5,12,0,5,0,0,0,2,3,8,12,12,1250,2
212713,91450108675009134K,EN,4501,7452,10000,00,,,0,0,10334.02,10334.02,0,0,0,0,0,10334.02,6717.13,0,0,166.63,70,0,0,0,6,0,70,1,0,1,28,41,0,1,0,0,1,0,0,5,45,14,1660.94,0
212716,91450103071974857T,EN,4501,6531,2000,00,,,0,0,59004.36,59004.36,0,0,0,0,0,44288.54,41454.07,14715.82,0,9310.68,346,0,0,0,107,16,227,3,0,3,213,123,0,0,0,0,0,0,0,32,314,85,3263.43,0
212719,91450100310212236Q,EN,4501,6513,10000,00,,,0,0,4908.63,4908.63,2659.3,0,2237.85,421.45,0,2249.33,2249.33,0,0,-1480.16,24,0,0,0,1,0,25,0,0,0,11,11,0,0,0,0,0,0,0,8,6,15,111.72,2
212730,91450000MA5KC82Q7N,EN,4501,6410,200000,00,,,0,0,408860.21,408860.21,24720.9,0,0,20415.95,4304.95,384139.31,384139.31,0,0,19503.49,366,18,0,0,181,21,309,93,4,89,269,4,0,43,0,0,10,15,18,40,148,219,35762.67,13
212732,91450100581969556J,EN,4501,6513,10000,00,,,0,0,10455.94,10455.94,1238.8,0,0,1238.8,0,5442.5,5442.5,571.4,3203.24,2335.78,26,0,0,0,0,0,26,0,0,0,12,14,0,18,0,0,1,2,15,6,19,12,965.9,0
212733,91450100682115883N,EN,4501,4999,10000,00,,,0,0,9931,9931,700,0,500,0,0,900,420,7831,500,324,12,0,0,0,0,0,12,0,0,0,2,4,0,0,0,0,0,0,0,1,6,5,1380,0
212739,91450000785217938G,EN,4501,0321,50000,00,,,0,0,134226.07,134226.07,0,0,0,0,0,134226.07,134226.07,0,0,72423.31,275,0,0,0,15,6,270,8,2,6,27,239,158,15,0,0,3,6,6,13,48,48,9713.25,1
212755,914501035594484397,EN,4501,6513,10000,00,,,0,0,2110,2110,2110,0,0,1000,1110,0,0,0,0,-171,22,0,0,0,4,2,20,0,0,0,13,7,18,1,0,0,0,1,0,7,13,10,910,0
212756,91450100682110425U,EN,4501,3597,18000,00,,,0,17619.37,16672.57,16672.57,0,0,0,0,0,16672.57,12311.05,0,0,-69.85,31,1,0,0,3,2,21,2,0,2,5,9,0,0,0,0,0,0,0,6,5,5,1549.35,0
212779,91450100687758968W,EN,4501,7721,30000,13,2015,1,0,0,17124.65,16953.42,8102.01,0,0,8102.01,0,0,0,8851.41,171.23,995.9,22,0,0,0,1,1,20,1,0,1,9,10,8,0,0,0,0,0,0,6,4,14,890,1
212787,91450126595110697K,EN,4501,5090,30000,00,,,0,0,92880.65,91197.68,0,0,0,0,0,91197.68,74962.87,0,1682.97,4017.63,58,0,0,0,8,2,57,0,0,0,1,7,0,3,0,3,0,0,0,5,5,13,3755.4,7
